player_id,player_name,season,trade_date,team_from,team_to,pre_games,post_games,pre_min,post_min,delta_min,pre_fgm,post_fgm,delta_fgm,pre_fga,post_fga,delta_fga,pre_fg_pct,post_fg_pct,delta_fg_pct,pre_fg3m,post_fg3m,delta_fg3m,pre_fg3a,post_fg3a,delta_fg3a,pre_fg3_pct,post_fg3_pct,delta_fg3_pct,pre_ftm,post_ftm,delta_ftm,pre_fta,post_fta,delta_fta,pre_ft_pct,post_ft_pct,delta_ft_pct,pre_oreb,post_oreb,delta_oreb,pre_dreb,post_dreb,delta_dreb,pre_reb,post_reb,delta_reb,pre_ast,post_ast,delta_ast,pre_stl,post_stl,delta_stl,pre_blk,post_blk,delta_blk,pre_tov,post_tov,delta_tov,pre_pf,post_pf,delta_pf,pre_pts,post_pts,delta_pts,pre_plus_minus,post_plus_minus,delta_plus_minus,pre_ts_pct,post_ts_pct,delta_ts_pct,pre_usg_rate,post_usg_rate,delta_usg_rate
1630169,Tyrese Haliburton,2021-22,2022-02-08,SAC,IND,51,26,34.4314,36.1538,1.7225,5.2549,6.2308,0.9759,11.4902,12.4231,0.9329,0.4475,0.499,0.0515,2.0392,2.1923,0.1531,4.9412,5.2692,0.3281,0.4009,0.3637,-0.0372,1.7059,2.8077,1.1018,2.0392,3.3077,1.2685,0.4902,0.7535,0.2634,0.7647,0.8462,0.0814,3.1373,3.4615,0.3243,3.902,4.3077,0.4057,7.4314,9.5769,2.1456,1.6863,1.8462,0.1599,0.6667,0.5769,-0.0897,2.2549,3.2308,0.9759,1.3922,1.9231,0.5309,14.2549,17.4615,3.2066,-4.4118,-3.8846,0.5271,0.5754,0.6291,0.0537,101.9609,115.2473,13.2863
1627734,Domantas Sabonis,2021-22,2022-02-08,IND,SAC,47,15,34.7234,33.7333,-0.9901,7.0426,7.4667,0.4241,12.1489,13.4667,1.3177,0.5737,0.5693,-0.0044,0.7447,0.2667,-0.478,2.2979,1.1333,-1.1645,0.2715,0.1778,-0.0937,4.0638,3.6667,-0.3972,5.4894,4.9333,-0.556,0.716,0.7093,-0.0067,3.2979,3.0667,-0.2312,8.766,9.2667,0.5007,12.0638,12.3333,0.2695,5.0213,5.8,0.7787,0.9787,0.8667,-0.1121,0.4681,0.3333,-0.1348,3.0426,3.4667,0.4241,3.1064,3.8,0.6936,18.8936,18.8667,-0.027,0.234,-1.8,-2.034,0.6486,0.6033,-0.0454,123.4846,135.782,12.2974
203468,CJ McCollum,2021-22,2022-02-08,POR,NOP,36,26,35.1944,33.6923,-1.5021,8.0556,9.4615,1.406,18.4722,19.1923,0.7201,0.4354,0.4784,0.0429,3.0833,2.7308,-0.3526,8.0278,6.9231,-1.1047,0.3678,0.371,0.0032,1.3333,2.6154,1.2821,1.8889,3.9231,2.0342,0.4656,0.5987,0.1331,0.9444,0.7308,-0.2137,3.3056,3.7308,0.4252,4.25,4.4615,0.2115,4.5278,5.8462,1.3184,1.0,1.3077,0.3077,0.5833,0.0385,-0.5449,1.9444,2.1923,0.2479,2.1389,1.6923,-0.4466,20.5278,24.2692,3.7415,-3.1389,1.6923,4.8312,0.5317,0.5801,0.0484,146.743,167.9501,21.207
1628401,Derrick White,2021-22,2022-02-10,SAS,BOS,49,26,30.3673,27.5,-2.8673,4.9592,3.6154,-1.3438,11.6327,8.8462,-2.7865,0.4156,0.4201,0.0045,1.6531,1.3077,-0.3454,5.2653,4.2692,-0.9961,0.287,0.311,0.0241,2.8367,2.4615,-0.3752,3.2653,2.8846,-0.3807,0.7233,0.6943,-0.029,0.5102,0.5,-0.0102,3.0204,2.8846,-0.1358,3.5306,3.3846,-0.146,5.5918,3.5385,-2.0534,1.0,0.5769,-0.4231,0.8571,0.6154,-0.2418,1.7755,1.2308,-0.5447,2.3673,2.1538,-0.2135,14.4082,11.0,-3.4082,0.6531,6.4615,5.8085,0.5512,0.5437,-0.0075,116.7273,101.8106,-14.9167
203496,Robert Covington,2021-22,2022-02-08,POR,LAC,48,22,29.7917,22.0,-7.7917,2.6667,3.5,0.8333,7.0,7.0455,0.0455,0.365,0.505,0.14,1.6458,2.0909,0.4451,4.7917,4.6818,-0.1098,0.3154,0.4164,0.1011,0.625,1.1818,0.5568,0.75,1.4091,0.6591,0.2656,0.412,0.1464,0.8542,0.7273,-0.1269,4.8542,4.4091,-0.4451,5.7083,5.1364,-0.572,1.4167,1.0909,-0.3258,1.5417,1.2727,-0.2689,1.3125,1.2727,-0.0398,1.2083,0.6818,-0.5265,2.75,2.5,-0.25,7.6042,10.2727,2.6686,-0.8125,4.1364,4.9489,0.5187,0.6701,0.1514,69.6621,92.4385,22.7764
1628404,Josh Hart,2021-22,2022-02-08,NOP,POR,41,13,33.4878,32.0769,-1.4109,4.7561,7.0769,2.3208,9.4146,14.0769,4.6623,0.5189,0.4783,-0.0406,1.0244,2.3846,1.3602,3.1707,6.3846,3.2139,0.3035,0.3438,0.0403,2.8293,3.3846,0.5553,3.7561,4.3846,0.6285,0.6152,0.7648,0.1496,1.2927,0.6923,-0.6004,6.4634,4.6923,-1.7711,7.7561,5.3846,-2.3715,4.0976,4.3077,0.2101,1.0976,1.2308,0.1332,0.2683,0.1538,-0.1144,1.9756,2.5385,0.5629,2.878,2.4615,-0.4165,13.3659,19.9231,6.5572,-3.0244,-6.5385,-3.5141,0.6038,0.6224,0.0185,95.3641,140.5217,45.1576
1627747,Caris LeVert,2021-22,2022-02-06,IND,CLE,39,19,31.1538,29.8421,-1.3117,7.1282,5.3158,-1.8124,15.9487,12.2105,-3.7382,0.4493,0.4316,-0.0177,1.5641,1.1053,-0.4588,4.8462,3.5263,-1.3198,0.3184,0.2936,-0.0248,2.8462,1.8421,-1.004,3.7436,2.4737,-1.2699,0.5813,0.4978,-0.0835,0.7692,0.6842,-0.085,3.0769,2.6842,-0.3927,3.8462,3.3684,-0.4777,4.4359,3.9474,-0.4885,0.8974,0.8421,-0.0553,0.4615,0.2632,-0.1984,1.9231,1.7368,-0.1862,2.3333,2.1053,-0.2281,18.6667,13.5789,-5.0877,-0.4872,-2.2632,-1.776,0.5304,0.5105,-0.0199,152.5808,124.8815,-27.6993
203552,Seth Curry,2021-22,2022-02-10,PHI,BKN,45,19,34.8222,29.8421,-4.9801,5.6889,5.4737,-0.2152,11.7333,11.1053,-0.6281,0.4734,0.4589,-0.0145,2.2222,3.0526,0.8304,5.5556,6.5263,0.9708,0.4149,0.4502,0.0352,1.4222,0.9474,-0.4749,1.6222,1.1053,-0.517,0.5019,0.3202,-0.1817,0.3778,0.2105,-0.1673,2.9778,2.3684,-0.6094,3.3556,2.5789,-0.7766,4.0222,2.5789,-1.4433,0.8,0.8947,0.0947,0.2444,0.1579,-0.0865,1.8667,1.3158,-0.5509,2.2444,2.4737,0.2292,15.0222,14.9474,-0.0749,2.5556,4.1579,1.6023,0.6034,0.6448,0.0413,102.0088,104.4319,2.4231
204001,Kristaps Porzingis,2021-22,2022-02-10,DAL,WAS,34,17,29.4706,28.0588,-1.4118,6.7353,7.2353,0.5,14.9412,15.2353,0.2941,0.4467,0.4792,0.0325,1.4412,1.7059,0.2647,5.0882,4.6471,-0.4412,0.2569,0.3368,0.0799,4.3235,5.9412,1.6176,5.0,6.8235,1.8235,0.8164,0.8455,0.0291,1.8824,2.2353,0.3529,5.7941,6.5882,0.7941,7.6765,8.8235,1.1471,2.0294,2.9412,0.9118,0.7353,0.7059,-0.0294,1.7353,1.4706,-0.2647,1.5588,1.6471,0.0882,2.5882,2.8824,0.2941,19.2353,22.1176,2.8824,1.4412,-0.9412,-2.3824,0.5611,0.6064,0.0453,159.2298,173.909,14.6792
203915,Spencer Dinwiddie,2021-22,2022-02-10,WAS,DAL,44,23,30.1818,28.2174,-1.9644,4.2045,5.2609,1.0563,11.1818,10.5652,-0.6166,0.351,0.4984,0.1474,1.5909,1.8261,0.2352,5.1364,4.5217,-0.6146,0.2624,0.3743,0.1119,2.6364,3.4348,0.7984,3.25,4.7391,1.4891,0.6173,0.6879,0.0706,0.8182,0.3913,-0.4269,3.8864,2.7391,-1.1472,4.7045,3.1304,-1.5741,5.8182,3.913,-1.9051,0.6136,0.7391,0.1255,0.1591,0.2609,0.1018,1.6591,1.3478,-0.3113,2.4318,1.8696,-0.5623,12.6364,15.7826,3.1462,-2.3636,2.4783,4.8419,0.501,0.6238,0.1228,116.0322,124.4884,8.4562
