TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,EFG_PCT,TS_PCT,TM_TOV_PCT,TEAM_ABBREVIATION,season
1610612763,Memphis Grizzlies,82,22,60,0.268,103.6,110.4,-6.8,95.65,0.46,0.586,1.44,16.6,0.276,0.721,0.493,0.5,0.539,0.156,MEM,2017-18
1610612748,Miami Heat,82,44,38,0.537,106.2,105.8,0.4,96.1,0.505,0.585,1.58,17.1,0.261,0.741,0.501,0.52,0.551,0.148,MIA,2017-18
1610612749,Milwaukee Bucks,82,44,38,0.537,109.0,109.1,-0.2,97.03,0.502,0.585,1.68,17.7,0.244,0.709,0.48,0.531,0.571,0.142,MIL,2017-18
1610612750,Minnesota Timberwolves,82,47,35,0.573,112.5,110.2,2.3,96.75,0.518,0.553,1.82,17.0,0.289,0.72,0.503,0.523,0.566,0.128,MIN,2017-18
1610612740,New Orleans Pelicans,82,48,34,0.585,108.5,107.4,1.1,101.48,0.525,0.627,1.79,19.0,0.24,0.726,0.494,0.541,0.573,0.145,NOP,2017-18
1610612752,New York Knicks,82,29,53,0.354,106.3,109.7,-3.4,97.64,0.481,0.573,1.58,17.2,0.289,0.727,0.509,0.51,0.544,0.15,NYK,2017-18
1610612760,Oklahoma City Thunder,82,48,34,0.585,110.1,106.4,3.7,97.34,0.508,0.535,1.53,15.8,0.32,0.725,0.515,0.514,0.546,0.143,OKC,2017-18
1610612753,Orlando Magic,82,25,57,0.305,104.7,109.4,-4.7,98.58,0.472,0.604,1.61,17.5,0.248,0.714,0.48,0.512,0.545,0.147,ORL,2017-18
1610612755,Philadelphia 76ers,82,52,30,0.634,108.5,103.9,4.6,100.75,0.542,0.663,1.64,19.1,0.286,0.736,0.52,0.535,0.568,0.163,PHI,2017-18
1610612756,Phoenix Suns,82,21,61,0.256,102.8,111.7,-9.0,101.14,0.442,0.553,1.35,15.6,0.271,0.724,0.493,0.495,0.532,0.155,PHX,2017-18
1610612757,Portland Trail Blazers,82,49,33,0.598,108.4,105.7,2.7,97.11,0.51,0.496,1.44,15.0,0.279,0.746,0.513,0.511,0.549,0.139,POR,2017-18
1610612758,Sacramento Kings,82,27,55,0.329,103.1,110.4,-7.3,95.5,0.451,0.556,1.57,16.6,0.264,0.731,0.489,0.502,0.529,0.143,SAC,2017-18
1610612759,San Antonio Spurs,82,47,35,0.573,107.1,104.1,3.0,95.7,0.525,0.583,1.73,17.3,0.277,0.741,0.508,0.507,0.543,0.137,SAS,2017-18
1610612761,Toronto Raptors,82,59,23,0.72,113.0,105.3,7.7,98.02,0.538,0.59,1.82,17.9,0.274,0.725,0.502,0.539,0.575,0.135,TOR,2017-18
1610612762,Utah Jazz,82,48,34,0.585,107.4,103.0,4.4,96.58,0.532,0.586,1.53,17.1,0.256,0.756,0.509,0.527,0.564,0.152,UTA,2017-18
1610612764,Washington Wizards,82,43,39,0.524,108.1,107.7,0.4,97.67,0.509,0.631,1.73,18.4,0.274,0.732,0.504,0.525,0.56,0.148,WAS,2017-18
1610612737,Atlanta Hawks,82,29,53,0.354,107.5,113.1,-5.5,104.56,0.464,0.624,1.52,17.7,0.284,0.718,0.496,0.522,0.555,0.162,ATL,2018-19
1610612738,Boston Celtics,82,49,33,0.598,111.3,107.0,4.3,100.43,0.53,0.624,2.05,18.8,0.257,0.728,0.495,0.534,0.567,0.127,BOS,2018-19
1610612751,Brooklyn Nets,82,42,40,0.512,108.9,109.0,-0.1,101.52,0.492,0.592,1.58,16.9,0.282,0.72,0.501,0.52,0.556,0.146,BKN,2018-19
1610612766,Charlotte Hornets,82,39,43,0.476,110.7,112.0,-1.3,99.18,0.486,0.578,1.9,17.0,0.268,0.731,0.495,0.514,0.554,0.122,CHA,2018-19
1610612741,Chicago Bulls,82,22,60,0.268,104.5,112.8,-8.3,99.3,0.453,0.55,1.55,16.3,0.242,0.727,0.483,0.505,0.541,0.141,CHI,2018-19
1610612739,Cleveland Cavaliers,82,19,63,0.232,106.8,116.8,-10.0,97.37,0.436,0.532,1.54,15.6,0.282,0.732,0.496,0.503,0.54,0.138,CLE,2018-19
1610612742,Dallas Mavericks,82,33,49,0.402,108.7,110.1,-1.5,99.6,0.492,0.603,1.64,17.0,0.273,0.734,0.503,0.519,0.555,0.142,DAL,2018-19
1610612743,Denver Nuggets,82,54,28,0.659,112.1,108.1,4.0,98.49,0.524,0.653,2.04,19.3,0.308,0.744,0.524,0.527,0.558,0.136,DEN,2018-19
1610612765,Detroit Pistons,82,41,41,0.5,108.4,108.7,-0.3,97.88,0.482,0.579,1.63,16.5,0.291,0.745,0.509,0.509,0.544,0.14,DET,2018-19
1610612744,Golden State Warriors,82,57,25,0.695,115.0,108.6,6.5,101.74,0.546,0.668,2.06,20.4,0.257,0.727,0.505,0.565,0.596,0.139,GSW,2018-19
1610612745,Houston Rockets,82,53,29,0.646,114.9,110.1,4.8,98.39,0.498,0.541,1.59,15.9,0.269,0.7,0.481,0.542,0.581,0.135,HOU,2018-19
1610612754,Indiana Pacers,82,48,34,0.585,109.4,106.0,3.4,98.64,0.527,0.628,1.9,18.9,0.269,0.722,0.499,0.53,0.561,0.139,IND,2018-19
1610612746,LA Clippers,82,48,34,0.585,111.4,110.4,1.0,102.66,0.505,0.582,1.65,17.1,0.263,0.722,0.5,0.529,0.575,0.141,LAC,2018-19
1610612747,Los Angeles Lakers,82,37,45,0.451,107.4,108.9,-1.6,103.6,0.495,0.6,1.63,17.8,0.27,0.725,0.502,0.527,0.554,0.15,LAL,2018-19
1610612763,Memphis Grizzlies,82,33,49,0.402,105.6,108.0,-2.4,97.15,0.49,0.631,1.71,17.9,0.247,0.724,0.484,0.508,0.548,0.143,MEM,2018-19
1610612748,Miami Heat,82,39,43,0.476,106.7,107.1,-0.4,98.73,0.501,0.612,1.65,17.6,0.291,0.731,0.509,0.515,0.542,0.149,MIA,2018-19
1610612749,Milwaukee Bucks,82,60,22,0.732,113.5,104.9,8.6,103.57,0.553,0.601,1.88,18.3,0.25,0.757,0.516,0.55,0.583,0.133,MIL,2018-19
1610612750,Minnesota Timberwolves,82,36,46,0.439,110.6,112.2,-1.6,100.88,0.498,0.591,1.88,17.4,0.292,0.709,0.497,0.511,0.552,0.129,MIN,2018-19
1610612740,New Orleans Pelicans,82,33,49,0.402,110.7,112.0,-1.3,103.89,0.498,0.619,1.82,18.6,0.285,0.729,0.509,0.529,0.563,0.142,NOP,2018-19
1610612752,New York Knicks,82,17,65,0.207,104.0,112.9,-8.9,100.16,0.442,0.525,1.43,14.9,0.264,0.717,0.486,0.49,0.529,0.14,NYK,2018-19
1610612760,Oklahoma City Thunder,82,49,33,0.598,109.8,106.5,3.4,103.38,0.506,0.548,1.67,16.3,0.298,0.738,0.509,0.514,0.545,0.134,OKC,2018-19
1610612753,Orlando Magic,82,42,40,0.512,108.2,107.6,0.6,98.65,0.508,0.632,1.94,18.6,0.259,0.754,0.504,0.518,0.55,0.133,ORL,2018-19
1610612755,Philadelphia 76ers,82,51,31,0.622,111.6,109.0,2.6,102.59,0.529,0.648,1.8,18.7,0.278,0.741,0.517,0.532,0.574,0.144,PHI,2018-19
1610612756,Phoenix Suns,82,19,63,0.232,105.3,114.2,-8.9,101.15,0.45,0.595,1.53,17.3,0.247,0.683,0.464,0.514,0.552,0.153,PHX,2018-19
1610612757,Portland Trail Blazers,82,53,29,0.646,113.7,109.5,4.2,99.96,0.521,0.544,1.66,16.6,0.308,0.739,0.526,0.528,0.568,0.137,POR,2018-19
1610612758,Sacramento Kings,82,39,43,0.476,109.6,110.8,-1.2,103.88,0.495,0.588,1.9,17.7,0.268,0.713,0.487,0.524,0.554,0.128,SAC,2018-19
1610612759,San Antonio Spurs,82,48,34,0.585,112.2,110.6,1.6,98.88,0.516,0.58,2.03,18.1,0.246,0.744,0.501,0.534,0.572,0.122,SAS,2018-19
1610612761,Toronto Raptors,82,58,24,0.707,112.6,106.8,5.8,100.51,0.533,0.603,1.81,18.2,0.265,0.726,0.502,0.543,0.579,0.138,TOR,2018-19
1610612762,Utah Jazz,82,50,32,0.61,110.3,105.3,5.0,100.84,0.539,0.644,1.72,18.5,0.275,0.759,0.522,0.538,0.572,0.149,UTA,2018-19
1610612764,Washington Wizards,82,32,50,0.39,110.2,112.9,-2.7,102.23,0.487,0.623,1.87,18.4,0.252,0.706,0.477,0.531,0.567,0.136,WAS,2018-19
1610612737,Atlanta Hawks,67,20,47,0.299,107.0,114.4,-7.4,103.28,0.454,0.589,1.48,16.9,0.267,0.708,0.484,0.515,0.554,0.155,ATL,2019-20
1610612738,Boston Celtics,72,48,24,0.667,112.8,106.5,6.3,99.92,0.531,0.557,1.66,16.7,0.283,0.731,0.509,0.531,0.57,0.137,BOS,2019-20
1610612751,Brooklyn Nets,72,35,37,0.486,108.7,109.2,-0.5,101.7,0.5,0.606,1.6,17.3,0.28,0.736,0.511,0.52,0.554,0.148,BKN,2019-20
1610612766,Charlotte Hornets,65,23,42,0.354,105.9,112.8,-7.0,96.24,0.455,0.639,1.63,17.7,0.28,0.706,0.486,0.504,0.539,0.15,CHA,2019-20
1610612741,Chicago Bulls,65,22,43,0.338,105.8,108.9,-3.1,100.46,0.466,0.587,1.5,16.9,0.267,0.719,0.481,0.515,0.547,0.153,CHI,2019-20
1610612739,Cleveland Cavaliers,65,19,46,0.292,106.9,114.8,-7.9,99.17,0.453,0.573,1.4,16.8,0.296,0.738,0.512,0.522,0.553,0.165,CLE,2019-20
1610612742,Dallas Mavericks,75,43,32,0.573,115.9,111.2,4.8,99.89,0.521,0.592,1.94,17.7,0.275,0.74,0.509,0.545,0.581,0.126,DAL,2019-20
1610612743,Denver Nuggets,73,46,27,0.63,112.6,110.4,2.2,97.64,0.517,0.636,1.94,19.1,0.294,0.725,0.509,0.535,0.567,0.139,DEN,2019-20
1610612765,Detroit Pistons,66,20,46,0.303,108.8,112.3,-3.5,97.86,0.473,0.612,1.58,17.7,0.277,0.717,0.493,0.529,0.561,0.155,DET,2019-20
1610612744,Golden State Warriors,65,15,50,0.231,104.4,113.0,-8.6,101.04,0.462,0.663,1.72,18.2,0.255,0.722,0.481,0.497,0.54,0.146,GSW,2019-20
